id,email,password,address,firstname,lastname,balance
0,sarah@gmail.com,Grr12,"8323 New Avenue, Derry, NH 03038",Ashley,Jones,556
1,dancer@gmail.com,iluv2eatic3,"8323 New Avenue, Derry, NH 03038",Mimi,Holland,615
2,spooky@gmail.com,YouWouldNotBelieveYour3y3s,"999 Greenrose Dr, Macomb, MI 48042",Alok,Johnson,998
3,frankenstein@gmail.com,LeggoMyEggo?,"65 Egg Roll Road, NY 11011",Adam,Watson,47
4,sarah@gmail.com,YesIamBen,"42 Wallaby Way, Sydney, Australia 13456",Simon,Jones,683
5,10millionfireflies@hotmail.com,Boo!IamGhost,"918 Pumpkin Hill Dr, Bensalem, PA 19020",Arthur,Holland,302
6,juice@gmail.com,YouWouldNotBelieveYour3y3s,"999 Greenrose Dr, Macomb, MI 48042",Simon,Johansson,356
7,adam@gmail.com,LeggoMyEggo?,"116 Allen Building, Durham, NC 27708",Rohin,Johnson,149
8,adam@gmail.com,YesIamBen,"918 Pumpkin Hill Dr, Bensalem, PA 19020",Ogadimma,Johnson,944
9,spooky@gmail.com,iluv2eatic3,"8323 New Avenue, Derry, NH 03038",Catherine,Jones,872
10,icecream@tastes.good,Grr12,"42 Wallaby Way, Sydney, Australia 13456",Mimi,Smith,108
11,juice@gmail.com,Boo!IamGhost,"55 Ice Cream Ave, New York, NY 11010",Alok,Crick,481
12,sarah@gmail.com,YouWouldNotBelieveYour3y3s,"65 Egg Roll Road, NY 11011",Sarah,Crick,46
13,sarah@gmail.com,YesIamBen,"999 Greenrose Dr, Macomb, MI 48042",Ashley,Khan,737
14,sarah@gmail.com,Boo!IamGhost,"999 Greenrose Dr, Macomb, MI 48042",Ogadimma,Johnson,910
15,adam@gmail.com,Grr12,"42 Wallaby Way, Sydney, Australia 13456",Catherine,Goldman,76
16,dancer@gmail.com,YesIamBen,"8323 New Avenue, Derry, NH 03038",Alok,Smith,128
17,icecream@tastes.good,LeggoMyEggo?,"918 Pumpkin Hill Dr, Bensalem, PA 19020",Ashley,Crick,419
18,notjunyang@yahoo.com,Boo!IamGhost,"999 Greenrose Dr, Macomb, MI 48042",Mimi,Johansson,221
19,icecream@tastes.good,Grr12,"999 Greenrose Dr, Macomb, MI 48042",Ashley,Holland,529
20,dancer@gmail.com,Boo!IamGhost,"42 Wallaby Way, Sydney, Australia 13456",Adam,Goldman,850
21,sarah@gmail.com,DirtyDancing22,"918 Pumpkin Hill Dr, Bensalem, PA 19020",Rohin,Crick,324
22,notjunyang@yahoo.com,DirtyDancing22,"42 Wallaby Way, Sydney, Australia 13456",Ashley,Smith,706
23,juice@gmail.com,happyhalloween,"42 Wallaby Way, Sydney, Australia 13456",Mimi,Coleman,157
24,icecream@tastes.good,LeggoMyEggo?,"65 Egg Roll Road, NY 11011",Sarah,Johansson,846
25,sarah@gmail.com,YouWouldNotBelieveYour3y3s,"450 Malibu St, Florida 21211",Simon,Khan,178
26,spooky@gmail.com,iluv2eatic3,"55 Ice Cream Ave, New York, NY 11010",Sarah,Jones,800
27,10millionfireflies@hotmail.com,YouWouldNotBelieveYour3y3s,"65 Egg Roll Road, NY 11011",Adam,Holland,270
28,notjunyang@yahoo.com,Boo!IamGhost,"450 Malibu St, Florida 21211",Mimi,Smith,97
29,juice@gmail.com,letmeinn,"65 Egg Roll Road, NY 11011",Ogadimma,Johansson,808
30,adam@gmail.com,Grr12,"450 Malibu St, Florida 21211",Ashley,Holland,472
31,frankenstein@gmail.com,DirtyDancing22,"42 Wallaby Way, Sydney, Australia 13456",Mimi,Khan,414
32,dancer@gmail.com,Boo!IamGhost,"116 Allen Building, Durham, NC 27708",Adam,Goldman,88
33,icecream@tastes.good,christmas,"42 Wallaby Way, Sydney, Australia 13456",Ogadimma,Khan,924
34,juice@gmail.com,Grr12,"65 Egg Roll Road, NY 11011",Alok,Watson,943
35,frankenstein@gmail.com,YesIamBen,"450 Malibu St, Florida 21211",Ogadimma,Goldman,665
36,pumpkinlover5@gmail.com,LeggoMyEggo?,"55 Ice Cream Ave, New York, NY 11010",Sarah,Jones,376
37,pumpkinlover5@gmail.com,DirtyDancing22,"55 Ice Cream Ave, New York, NY 11010",Rohin,Watson,647
38,sarah@gmail.com,happyhalloween,"8323 New Avenue, Derry, NH 03038",Simon,Crick,99
39,juice@gmail.com,happyhalloween,"116 Allen Building, Durham, NC 27708",Simon,Smith,211
40,juice@gmail.com,YesIamBen,"999 Greenrose Dr, Macomb, MI 48042",Arthur,Crick,315
41,pumpkinlover5@gmail.com,Boo!IamGhost,"65 Egg Roll Road, NY 11011",Ogadimma,Khan,83
42,spooky@gmail.com,Grr12,"450 Malibu St, Florida 21211",Mimi,Johansson,594
43,adam@gmail.com,Boo!IamGhost,"42 Wallaby Way, Sydney, Australia 13456",Arthur,Jones,283
44,frankenstein@gmail.com,DirtyDancing22,"999 Greenrose Dr, Macomb, MI 48042",Simon,Johansson,423
45,frankenstein@gmail.com,Boo!IamGhost,"116 Allen Building, Durham, NC 27708",Rohin,Khan,920
46,pumpkinlover5@gmail.com,letmeinn,"116 Allen Building, Durham, NC 27708",Arthur,Crick,753
47,dancer@gmail.com,LeggoMyEggo?,"55 Ice Cream Ave, New York, NY 11010",Ashley,Goldman,328
48,juice@gmail.com,Boo!IamGhost,"55 Ice Cream Ave, New York, NY 11010",Rohin,Watson,584
49,adam@gmail.com,happyhalloween,"999 Greenrose Dr, Macomb, MI 48042",Ashley,Watson,916
50,icecream@tastes.good,DirtyDancing22,"42 Wallaby Way, Sydney, Australia 13456",Mimi,Holland,30
51,notjunyang@yahoo.com,Boo!IamGhost,"999 Greenrose Dr, Macomb, MI 48042",Sarah,Khan,450
52,juice@gmail.com,christmas,"65 Egg Roll Road, NY 11011",Simon,Goldman,975
53,spooky@gmail.com,iluv2eatic3,"8323 New Avenue, Derry, NH 03038",Mimi,Holland,575
54,adam@gmail.com,LeggoMyEggo?,"8323 New Avenue, Derry, NH 03038",Alok,Johnson,680
55,notjunyang@yahoo.com,christmas,"8323 New Avenue, Derry, NH 03038",Arthur,Johnson,356
56,sarah@gmail.com,christmas,"55 Ice Cream Ave, New York, NY 11010",Alok,Coleman,481
57,pumpkinlover5@gmail.com,YouWouldNotBelieveYour3y3s,"999 Greenrose Dr, Macomb, MI 48042",Ashley,Smith,652
58,sarah@gmail.com,happyhalloween,"8323 New Avenue, Derry, NH 03038",Adam,Watson,374
59,notjunyang@yahoo.com,Boo!IamGhost,"450 Malibu St, Florida 21211",Ogadimma,Goldman,822
60,10millionfireflies@hotmail.com,YesIamBen,"918 Pumpkin Hill Dr, Bensalem, PA 19020",Sarah,Khan,804
61,pumpkinlover5@gmail.com,LeggoMyEggo?,"42 Wallaby Way, Sydney, Australia 13456",Adam,Holland,273
62,sarah@gmail.com,Grr12,"55 Ice Cream Ave, New York, NY 11010",Ashley,Goldman,928
63,sarah@gmail.com,YesIamBen,"8323 New Avenue, Derry, NH 03038",Sarah,Crick,426
64,frankenstein@gmail.com,christmas,"65 Egg Roll Road, NY 11011",Ogadimma,Coleman,494
65,juice@gmail.com,YesIamBen,"42 Wallaby Way, Sydney, Australia 13456",Sarah,Khan,274
66,sarah@gmail.com,happyhalloween,"55 Ice Cream Ave, New York, NY 11010",Catherine,Watson,854
67,notjunyang@yahoo.com,YesIamBen,"42 Wallaby Way, Sydney, Australia 13456",Adam,Watson,431
68,10millionfireflies@hotmail.com,YesIamBen,"450 Malibu St, Florida 21211",Rohin,Crick,873
69,10millionfireflies@hotmail.com,christmas,"65 Egg Roll Road, NY 11011",Rohin,Johnson,218
70,10millionfireflies@hotmail.com,YesIamBen,"55 Ice Cream Ave, New York, NY 11010",Rohin,Johansson,779
71,pumpkinlover5@gmail.com,YesIamBen,"42 Wallaby Way, Sydney, Australia 13456",Mimi,Johansson,758
72,adam@gmail.com,LeggoMyEggo?,"8323 New Avenue, Derry, NH 03038",Adam,Holland,555
73,juice@gmail.com,happyhalloween,"8323 New Avenue, Derry, NH 03038",Arthur,Jones,713
74,10millionfireflies@hotmail.com,Boo!IamGhost,"65 Egg Roll Road, NY 11011",Alok,Johansson,393
75,pumpkinlover5@gmail.com,iluv2eatic3,"65 Egg Roll Road, NY 11011",Ogadimma,Watson,346
76,icecream@tastes.good,YouWouldNotBelieveYour3y3s,"8323 New Avenue, Derry, NH 03038",Catherine,Crick,576
77,10millionfireflies@hotmail.com,Boo!IamGhost,"450 Malibu St, Florida 21211",Sarah,Goldman,829
78,10millionfireflies@hotmail.com,iluv2eatic3,"918 Pumpkin Hill Dr, Bensalem, PA 19020",Simon,Coleman,85
79,pumpkinlover5@gmail.com,DirtyDancing22,"42 Wallaby Way, Sydney, Australia 13456",Sarah,Khan,857
80,sarah@gmail.com,DirtyDancing22,"8323 New Avenue, Derry, NH 03038",Mimi,Crick,434
81,spooky@gmail.com,YesIamBen,"999 Greenrose Dr, Macomb, MI 48042",Ashley,Johansson,449
82,spooky@gmail.com,happyhalloween,"116 Allen Building, Durham, NC 27708",Arthur,Khan,986
83,pumpkinlover5@gmail.com,happyhalloween,"8323 New Avenue, Derry, NH 03038",Catherine,Smith,886
84,adam@gmail.com,Boo!IamGhost,"116 Allen Building, Durham, NC 27708",Sarah,Watson,12
85,icecream@tastes.good,LeggoMyEggo?,"42 Wallaby Way, Sydney, Australia 13456",Adam,Watson,649
86,dancer@gmail.com,Boo!IamGhost,"999 Greenrose Dr, Macomb, MI 48042",Alok,Crick,919
87,sarah@gmail.com,DirtyDancing22,"8323 New Avenue, Derry, NH 03038",Ogadimma,Johansson,113
88,dancer@gmail.com,iluv2eatic3,"999 Greenrose Dr, Macomb, MI 48042",Catherine,Johansson,91
89,10millionfireflies@hotmail.com,LeggoMyEggo?,"65 Egg Roll Road, NY 11011",Mimi,Crick,512
90,spooky@gmail.com,LeggoMyEggo?,"999 Greenrose Dr, Macomb, MI 48042",Alok,Crick,851
91,adam@gmail.com,christmas,"8323 New Avenue, Derry, NH 03038",Mimi,Jones,455
92,frankenstein@gmail.com,LeggoMyEggo?,"450 Malibu St, Florida 21211",Alok,Khan,248
93,adam@gmail.com,YesIamBen,"8323 New Avenue, Derry, NH 03038",Ogadimma,Jones,907
94,juice@gmail.com,YesIamBen,"55 Ice Cream Ave, New York, NY 11010",Adam,Crick,381
95,spooky@gmail.com,YouWouldNotBelieveYour3y3s,"116 Allen Building, Durham, NC 27708",Arthur,Watson,377
96,juice@gmail.com,Boo!IamGhost,"450 Malibu St, Florida 21211",Adam,Smith,345
97,notjunyang@yahoo.com,iluv2eatic3,"65 Egg Roll Road, NY 11011",Arthur,Crick,83
98,adam@gmail.com,YouWouldNotBelieveYour3y3s,"918 Pumpkin Hill Dr, Bensalem, PA 19020",Adam,Johnson,20
99,juice@gmail.com,YouWouldNotBelieveYour3y3s,"116 Allen Building, Durham, NC 27708",Catherine,Holland,128
