"0","tamaramorrison@hotmail.com","pbkdf2:sha256:260000$uuuyfjClN5yfzeEW$c4424df25dce1cc1e6a7d845967d1addaba1351b2911658d60606d684e80b574","9342 Lori Bypass Suite 711
East Sandra, CO 92162","Gary","Cross","945.69"
"1","carlsonholly@yahoo.com","pbkdf2:sha256:260000$FHO1frwtkHuRGCvH$6ed6ce18736ddfa264413b2fcf0cce0f74cbf21780e50bff10844e1d1c318f42","230 Megan Junctions Suite 197
North Thomas, OK 67164","Tracy","Robbins","939.39"
"2","bairdemma@hotmail.com","pbkdf2:sha256:260000$TM9PGkkrvSjv7l3l$e016f305d74747d6da67d3b88123673db87d7ea31b0ed360f30dbd883f087cf7","4217 Burton Brooks
Robinville, KS 17988","Anthony","Carson","669.66"
"3","zsmith@hotmail.com","pbkdf2:sha256:260000$ZF63TNBPoyKDuB4c$3a3d38030a11ba5d222cb8846ec47de23b7d70a5d0ca09f895fc8a082f6193fc","361 Robinson Green Apt. 635
North Lynntown, NC 59694","Sara","Evans","770.86"
"4","berryerika@hotmail.com","pbkdf2:sha256:260000$AaT99E6AJjOmwrz9$caf0d6ee3aee0ccec6283b7109d744a818ccda0ee387576ed9772abbd3b84479","634 Petersen Orchard
Lawsonbury, AK 86613","Charles","Scott","906.00"
"5","debra94@gmail.com","pbkdf2:sha256:260000$2t4BYdPnLFM9qPDf$c70ce9e7826229ced273a0994ba0d850db1bb94cc762bbc443f39f48d37512d2","306 Watson Field
Kellyland, AZ 64223","John","Ellis","261.03"
"6","eric22@gmail.com","pbkdf2:sha256:260000$BTw9fphCHeS1G7J3$4973fcfebd9f76411c0d7be5eb02725042ac671d7dd1a3888d53002dc6a3d547","45602 Phillip Squares
East Robertside, WA 19150","Melissa","Cantu","605.54"
"7","bramirez@gmail.com","pbkdf2:sha256:260000$BoYF6iqj12C6hZJP$409450faa0b0eeac939475268e4315e75e3139739b2272156d2d1541240d24ef","46896 Garcia Glen
Justinborough, CO 05147","Michael","Montgomery","72.33"
"8","yroman@hotmail.com","pbkdf2:sha256:260000$kjreBfKwM19oIxUq$b113c0a2ebd4251034230630f82aa1980d2f4661b29c6096eb77e43e8f3b6660","90603 Monica Lakes Apt. 239
Cheyennehaven, LA 46778","Andrew","Oliver","421.58"
"9","nhenson@yahoo.com","pbkdf2:sha256:260000$LUPhM69smMrUsbkr$84e2e0f476e8f5eb151cf12ea49caa8a6827c8c597439c02662bd3b251233b4d","602 Tracy Crossroad Suite 556
New Rachelside, ID 93702","Kristen","Smith","303.99"
