"0","tamaramorrison@hotmail.com","pbkdf2:sha256:260000$cDMIVXZzJEfQ6hTx$67c3f55e71e92eddcedafecc050a202b548e26a7ccaeddba907c2ac110d5eca8","9342 Lori Bypass Suite 711
East Sandra, CO 92162","Gary","Cross","945.69"
"1","carlsonholly@yahoo.com","pbkdf2:sha256:260000$2DmDI5lZoIwlnN93$db36e337dc3a9e2a07d8bd33e916d663f6fd3bb1e3085928af67836f0bb20ea7","230 Megan Junctions Suite 197
North Thomas, OK 67164","Tracy","Robbins","939.39"
"2","bairdemma@hotmail.com","pbkdf2:sha256:260000$fqEtX1qVdnYGWJr5$503295c02645e288cac0ad8d1d572f3f2cde96680906f5682015eb4ac1581157","4217 Burton Brooks
Robinville, KS 17988","Anthony","Carson","669.66"
"3","zsmith@hotmail.com","pbkdf2:sha256:260000$VMz0Z9bPL1JdqDix$054b919f69af6ee42bec5860f02be9196dbd09d7c08ef706860b75d5a0ac839a","361 Robinson Green Apt. 635
North Lynntown, NC 59694","Sara","Evans","770.86"
"4","berryerika@hotmail.com","pbkdf2:sha256:260000$Pu16OwKkgbB8Kmg5$cacf6e9ca72e511d1f96edcf195ef02e63db011b0b0767b19bb8bd4bafb9c70a","634 Petersen Orchard
Lawsonbury, AK 86613","Charles","Scott","906.00"
"5","debra94@gmail.com","pbkdf2:sha256:260000$to0PjGNZxIz3fDyj$c697fda0191c2e9b1a1934e3306f2f57824d63e7751a7f9c4910f8c8e59b819a","306 Watson Field
Kellyland, AZ 64223","John","Ellis","261.03"
"6","eric22@gmail.com","pbkdf2:sha256:260000$nQudqzns5bhZwbQ4$d56aa5a6ac246006b4f0e50f72a97ad3c0f77603960408c337b7036f2e3a0183","45602 Phillip Squares
East Robertside, WA 19150","Melissa","Cantu","605.54"
"7","bramirez@gmail.com","pbkdf2:sha256:260000$EqVzCebYt81Dh73a$f7f0a7f434882d9c0df7255441a8eea8f7b58be1761b3f69468e6ee068ec189e","46896 Garcia Glen
Justinborough, CO 05147","Michael","Montgomery","72.33"
"8","yroman@hotmail.com","pbkdf2:sha256:260000$GLRaZIAkGuTyuMOM$192498b2bdd4a42747be0521e97cfc981bd9e74b5230878976bd8ae55a2942df","90603 Monica Lakes Apt. 239
Cheyennehaven, LA 46778","Andrew","Oliver","421.58"
"9","nhenson@yahoo.com","pbkdf2:sha256:260000$1Erdfrj2xUtpTjbZ$1a3294024c67c605c769e3b3b4fc264fe1922a2592e75bb5c6f1d3dce1ac93f0","602 Tracy Crossroad Suite 556
New Rachelside, ID 93702","Kristen","Smith","303.99"
"10","jensenanthony@hotmail.com","pbkdf2:sha256:260000$TgW1xbfHMRkNzHUd$702694b0cab82b527e15ec0038d10bde4ff846bf13c8e8ba90a3c33b16f0f9a3","38277 Padilla Common Suite 296
Port Leslie, MS 08257","Mark","Burnett","213.04"
"11","jennifersimmons@hotmail.com","pbkdf2:sha256:260000$qNOVuXWnpBVEf2Ct$e2f38604163580fbd0f33e3cbe82a79eb45f0d2770bda441771b74d38f6d4e29","299 Johnny Valley Suite 007
West Kellyberg, IA 67011","Cassandra","Murphy","364.20"
"12","stephanie28@gmail.com","pbkdf2:sha256:260000$jDIReCa7Xb6hTvHx$ec67d3029459bae59c3a0c0525d71556ec051ec1be209dfea10022138dbf07d7","188 Fischer Grove
Justinchester, VT 37258","Amber","Moore","968.33"
"13","mark06@yahoo.com","pbkdf2:sha256:260000$FVxbCPibPtFQ9BEy$0661f8d59d9dfd09a7fcb4b0f1b159ab6d37caf1f847942e2413c526f4910ba1","550 James Creek
Williamstown, MO 16920","David","Macias","783.81"
"14","gutierrezbryan@yahoo.com","pbkdf2:sha256:260000$LZAyARrFoWHuw4ML$d27daa7ebf84b64defaaadf377aba8f4b3f76c5fa9c5dfe1b5063cfa32bc4666","251 Brown Knoll
Emilyshire, NH 54532","Kelly","Mckinney","185.03"
"15","andrewholloway@hotmail.com","pbkdf2:sha256:260000$2QvxB0trFMRq4a0o$97176948c9c6bdc0f2a442c2496b4e103f949a7ee43501215d66454f31e61dcd","922 French Manor
Bradleymouth, IA 18566","John","Barron","372.65"
"16","gonzalezsusan@gmail.com","pbkdf2:sha256:260000$aXSQbxHZQ1oaSDIq$c6039dbb07ff188bba8f5deca6895d8125ccd2beaae1747f3436135c8d99440e","0486 Evelyn Grove Suite 352
North Christie, AK 56937","Sarah","Thomas","590.50"
